authors;year;paper.number;es_id;genus;species;animal;animal_on_tree;pop;number.mts;type.of.study;treatment;condition;sperm.comp.rank;sperm_comp_cat;response.variable.type;is_gsi;is_abs_gonad_size;variable.type;variable.type1;meaning.response.variable;sample.size.stat;es_hedges_g;es_var;size.measure;major.size;sde.major.size;n1.size;minor.size;sde.minor.size;n2.size;sample.size.size;
Uglem et al;2002;48;66;Symphodus;corkwing wrasse;Symphodus_melops;Oreochromis_niloticus;Lysekil on the West Coast of Sweden;2;obs;NA;natural;2;1.L;sperm motility;0;0;quality;quality;sperm motility at 1 min since activation;37;0.099798561;0.1083;body wet mass (g) +/- se;58.7;3;15;29.2;1.6;25;40;
Katoh et al;2005;17;96;Telmatochromis;?;Telmatochromis_temporalis;Neolamprologus_sp2;rocky shore at Nkum- bula Island located at the southern end of Lake Tanganyika;2;obs;minor 1: small males inside nests;natural;4;3.H;GSI;1;0;production;production_1;gonad weight / body weight × 100;30;-5.231352202;0.271467857;standard length mm +/- sd;dados do gráfico?;dados do gráfico?;dados do gráfico?;27.5;3.9;12;?;
Katoh et al;2005;17;97;Telmatochromis;?;Telmatochromis_temporalis;Neolamprologus_sp2;rocky shore at Nkum- bula Island located at the southern end of Lake Tanganyika;2;obs;minor 1: small males inside nests;natural;4;3.H;gonad mass (g);0;1;production;production_0;"""On the day of sampling, SL (to 0.1mm), body weight (0.001g) and gonad weight (0.001g) were measured, and sex was deter- mined based on gonad examination of sampled fish""";30;0.129958388;0.0983656;standard length mm +/- sd;dados do gráfico?;dados do gráfico?;dados do gráfico?;27.5;3.9;12;?;
Ota & Kohda;2006;9;98;Telmatochromis;Shell-brooding chiclid fish T. vittatus;Telmatochromis_vittatus;Neolamprologus_sp3;Southern end of Lake Tanganyika;4;obs;minor 1: sneaker;natural;4;3.H;gonad mass (mg);0;1;production;production_0;they don't specify how they measured it;47;2.458572779;0.170638885;standard length mm +/- sd;54.99;4.95;7;26.51;4.55;7;14;
Ota & Kohda;2006;9;99;Telmatochromis;Shell-brooding chiclid fish T. vittatus;Telmatochromis_vittatus;Neolamprologus_sp3;Southern end of Lake Tanganyika;4;obs;minor 1: sneaker;natural;4;3.H;GSI;1;0;production;production_1;gonado-somatic index: testes weight / body weight x 100;47;-1.093582508;0.119057424;standard length mm +/- sd;54.99;4.95;7;26.51;4.55;7;14;
Fitzpatrick et al;2007;27;105;Telmatochromis;?;Telmatochromis_vittatus;Neolamprologus_sp3;"""southern end of Lake Tanganyika, primarily from Kasakalawe Bay, west of Mpulungu, Zambia""";4;obs;minor 1: sneaker;natural;4;3.H;VAP: sperm swimming speed (µm s-1) after 0.5s;0;0;quality;quality;"""
Sperm were activated by adding 0.25 ml lake
water (previously boiled and cooled to lake temperature) and gently shaking the
tube for 1–2 sec [46]. We then placed 60 ll of the sperm/water mixture in a 1-mm-deep well on a slide, with a cover slip covering half of the depression so
that the sperm/water sample could easily be added to the well. This sample was
viewed on a Leica DME light microscope (Leica Microsystems Inc., Buffalo,
NY) mounted with a PixeLINK Megapixel PL-A662 digital video camera
(PixeLINK, Ottawa, ON, Canada) to record sperm motility."" ""Sperm velocity was measured for 1 sec at 0.5, 1, 2, 3, 4, 5, 6, and 7 min after
sperm activation using a CEROS (v12) video sperm analysis system (Hamilton- Thorne Research, Beverly, ME). The researcher was blind to male size and reproductive tactic when measuring sperm velocity. From some males, sperm continued to swim beyond 7 min after activation, but because the proportion of a male’s sperm that was active past 7 min fell dramatically, we confined our analyses of sperm velocity to the first 7 min after activation. Due to water movement and variation in video quality, 0.5 min was the earliest time after activation that we were able to reliably measure sperm swimming speed of all males. We analyzed only those spermatozoa whose forward movement was
traced for at least 0.33 sec (i.e., ?20 frames, see [30, 38, 46] for a similar measurement criterion)""";18;-0.547131454;0.24208159;?;?;?;?;?;?;?;?;
Fitzpatrick et al;2007;27;106;Telmatochromis;?;Telmatochromis_vittatus;Neolamprologus_sp3;"""southern end of Lake Tanganyika, primarily from Kasakalawe Bay, west of Mpulungu, Zambia""";4;obs;minor 1: sneaker;natural;4;3.H;median sperm length (µm);0;0;quality;quality;"""To measure sperm lengths, the remaining testis of each male was split open,
and the free-flowing milt was diluted with lake water, spread over the glass slide, and allowed to air dry. The first 10 clear sperm images detected from each male were magnified to 10003on the computer monitor, photographed, and measured using the National Institutes of Health’s ImageJ software (v. 1.36, available at http://rsb.info.nih.gov/ij/). We traced a freehand line over the tail, measuring tail lengths (to the nearest 0.1 lm) from the center of the sperm’s head to the end of its tail [50]. To avoid observer bias, all samples were measured blind to male size or reproductive tactic.""";18;0.138165754;0.234296505;?;?;?;?;?;?;?;?;
Fitzpatrick et al;2007;27;107;Telmatochromis;?;Telmatochromis_vittatus;Neolamprologus_sp3;"""southern end of Lake Tanganyika, primarily from Kasakalawe Bay, west of Mpulungu, Zambia""";4;obs;minor 1: sneaker;natural;4;3.H;sperm longevity (s);0;0;quality;quality;"""The longevity of sperm movement was measured as the time since activation at which 95% of the sperm no longer exhibited forward movement [46–49]""";18;0.095694265;0.234020606;?;?;?;?;?;?;?;?;
Ota et al;2010;25;135;Telmatochromis;?;Telmatochromis_vittatus;Neolamprologus_sp3;"""Wonzye Point (lat 8?45.5#S, long 31?06.1#E), near Mpulungu at the southern end of Lake Tanganyika, Zambia""";4;obs;major + pirate;natural;4;3.H;gonad mass (g);0;1;production;production_0;"""The testes of each indi- vidual male were processed separately: they were carefully re- moved from the abdomen immediately after sacrificing by cutting the spine at the base of the skull with a sharp pair of scissors""";22;2.337714096;0.320631008;soma mass (g);1.461414;0.1165906;8;0.6314316;0.1139659;14;22;
Ota et al;2010;25;136;Telmatochromis;?;Telmatochromis_vittatus;Neolamprologus_sp3;"""Wonzye Point (lat 8?45.5#S, long 31?06.1#E), near Mpulungu at the southern end of Lake Tanganyika, Zambia""";4;obs;major - pirate;natural;4;3.H;gonad mass (g);0;1;production;production_0;"""The testes of each indi- vidual male were processed separately: they were carefully re- moved from the abdomen immediately after sacrificing by cutting the spine at the base of the skull with a sharp pair of scissors""";20;2.102956224;0.34865586;soma mass (g);1.805153;0.1265844;6;0.6314316;0.1139659;14;20;
Ota et al;2010;25;137;Telmatochromis;?;Telmatochromis_vittatus;Neolamprologus_sp3;"""Wonzye Point (lat 8?45.5#S, long 31?06.1#E), near Mpulungu at the southern end of Lake Tanganyika, Zambia""";4;obs;major + pirate;natural;4;3.H;sperm flagellar length (µm);0;0;quality;quality;"""After measurements of sperm longevity, the unused portion
of the testis was fixed in 10% formalin and then flagellum length was measured without prior knowledge of the source males. Parts of the testes were taken from the fixed testes using tweezers, and 20 images were photographed from each testis using a digital camera linked to a light microscope with a 3 100 objective. We digitized sperm images on the computer and measured flagellum length using the free software ImageJ 1.34 (available at http://rsb.info.nih.gov/ij/download.html). A total of 50–80 spermatozoa were measured for each 
male (mean 6 standard deviation [SD] ¼ 63.6 6 8.3, n ¼ 33; excludes n ¼ 2 males with missing data, a sneaker and a territorial male: for these 2 males no reliable sperm measurements could be taken). However, to avoid incorporat- ing sperm with broken flagella in the analyses, we used data on the largest 10 spermatozoa measured only. These 10 sper- matozoa were a treated as repeated measures of sperm length for a given individual in the analyses (see Data anal- ysis below)""";21;-0.257632786;0.203503426;soma mass (g);1.461414;0.1165906;8;0.6314316;0.1139659;14;22;
Ota et al;2010;25;138;Telmatochromis;?;Telmatochromis_vittatus;Neolamprologus_sp3;"""Wonzye Point (lat 8?45.5#S, long 31?06.1#E), near Mpulungu at the southern end of Lake Tanganyika, Zambia""";4;obs;major - pirate;natural;4;3.H;sperm flagellar length (µm);0;0;quality;quality;"""After measurements of sperm longevity, the unused portion
of the testis was fixed in 10% formalin and then flagellum length was measured without prior knowledge of the source males. Parts of the testes were taken from the fixed testes using tweezers, and 20 images were photographed from each testis using a digital camera linked to a light microscope with a 3 100 objective. We digitized sperm images on the computer and measured flagellum length using the free software ImageJ 1.34 (available at http://rsb.info.nih.gov/ij/download.html). A total of 50–80 spermatozoa were measured for each 
male (mean 6 standard deviation [SD] ¼ 63.6 6 8.3, n ¼ 33; excludes n ¼ 2 males with missing data, a sneaker and a territorial male: for these 2 males no reliable sperm measurements could be taken). However, to avoid incorporat- ing sperm with broken flagella in the analyses, we used data on the largest 10 spermatozoa measured only. These 10 sper- matozoa were a treated as repeated measures of sperm length for a given individual in the analyses (see Data anal- ysis below)""";18;1.270904788;0.321789715;soma mass (g);1.805153;0.1265844;6;0.6314316;0.1139659;14;20;
Ota et al;2010;25;139;Telmatochromis;?;Telmatochromis_vittatus;Neolamprologus_sp3;"""Wonzye Point (lat 8?45.5#S, long 31?06.1#E), near Mpulungu at the southern end of Lake Tanganyika, Zambia""";4;obs;major + pirate;natural;4;3.H;sperm longevity (s);0;0;quality;quality;"""A small amount of milt was directly sampled from a testis using a fine needle and mixed with 15 ll of lake water on a slide glass. The sperm activity period was measured as the time from mixing to the time when all sperm lost motility (no forward movement) under a light microscope (Nikon, Japan) with a 340 objective. Each male was measured twice and the average was used.We did not record sperm longevity in rep- lications in which less than 80% of sperm were active imme- diately after mixing; an additional replicate was conducted in
these cases. Repeatability was high (r ¼ 0.86, P , 0.0001, n ¼ 35).""";22;-0.320374441;0.198761294;soma mass (g);1.461414;0.1165906;8;0.6314316;0.1139659;14;22;
Ota et al;2010;25;140;Telmatochromis;?;Telmatochromis_vittatus;Neolamprologus_sp3;"""Wonzye Point (lat 8?45.5#S, long 31?06.1#E), near Mpulungu at the southern end of Lake Tanganyika, Zambia""";4;obs;major - pirate;natural;4;3.H;sperm longevity (s);0;0;quality;quality;"""A small amount of milt was directly sampled from a testis using a fine needle and mixed with 15 ll of lake water on a slide glass. The sperm activity period was measured as the time from mixing to the time when all sperm lost motility (no forward movement) under a light microscope (Nikon, Japan) with a 340 objective. Each male was measured twice and the average was used.We did not record sperm longevity in rep- lications in which less than 80% of sperm were active imme- diately after mixing; an additional replicate was conducted in
these cases. Repeatability was high (r ¼ 0.86, P , 0.0001, n ¼ 35).""";20;-1.712418676;0.311404681;soma mass (g);1.805153;0.1265844;6;0.6314316;0.1139659;14;20;
Warner et al;1995;19;13;Thalassoma;Bluehead wrasse;Thalassoma_bifasciatum;Thalassoma_quinquevittatum;Tague Bay, U.S. Virgin Islands;2;obs;NA;natural;3;2.M;sperm per spawn;0;0;allocation;allocation;"""The total number of sperm was estimated by multiplying the number of counted sperm by a dilution factor appropriate to the volume of the collecting bag""";60;-2.033890236;0.101812646;?;?;?;?;?;?;?;?;
Schärer & Robertson;1999;32;17;Thalassoma;Bluehead wrasse;Thalassoma_bifasciatum;Thalassoma_quinquevittatum;"""two reefs near the San Blas Field Station of the Smithsonian Tropical Research Institute (STRI), in Kuna Yala on the Caribbean coast of Panama""";2;obs;NA;natural;3;2.M;sperm concentration in the milt of spawn males (µl^-1);0;0;production;production_0;"""After stripping, a known volume of milt was diluted in tap water and fixed with a mixture of rose bengal dye and formalin (final concentration of 4% formalin). Tap water was used to avoid coagulation. When sufficient milt was collected dilutions were replicated (n=3). Sperm concentrations and sperm sizes were measured using a MultiSizer II electronic particle sizer. Samples were re-suspended, and two sub-samples were prepared by dilution in isotonic saline (Isoton II). Mean sperm volume is c. 3 µm^3 and a 50-µm orifice tube with a resolution between neighbouring size channels of c. 0·025 µm3 was used (<1% of mean sperm volume).""";76;-1.062698611;0.068327228;?;?;?;?;?;?;?;?;
Schärer & Robertson;1999;32;18;Thalassoma;Bluehead wrasse;Thalassoma_bifasciatum;Thalassoma_quinquevittatum;"""two reefs near the San Blas Field Station of the Smithsonian Tropical Research Institute (STRI), in Kuna Yala on the Caribbean coast of Panama""";2;obs;NA;natural;3;2.M;average volumes of individual sperm cells produced by spawn males (µm^3);0;0;production;production_0;"""After stripping, a known volume of milt was diluted in tap water and fixed with a mixture of rose bengal dye and formalin (final concentration of 4% formalin). Tap water was used to avoid coagulation. When sufficient milt was collected dilutions were replicated (n=3). Sperm concentrations and sperm sizes were measured using a MultiSizer II electronic particle sizer. Samples were re-suspended, and two sub-samples were prepared by dilution in isotonic saline (Isoton II). Mean sperm volume is c. 3 ?m3 and a 50-?m orifice tube with a resolution between neighbouring size channels of c. 0·025 ?m3 was used (<1% of mean sperm volume). For each sub-sample 10 000–250 000 cells were measured. Dilution in tap water may have increased sperm size due to hydration, and water may again have been lost to the saline during subsequent dilution. Sperm size stabilized between 15 and 25 min after this second dilution, and measurements were made during this time window. Hence information on absolute size of sperm cannot be given, but it was assumed that sperm from IP and TP males did not respond differently to the treatment and that differences in relative size of sperm were able to be assessed.""";76;0.204677442;0.061173047;?;?;?;?;?;?;?;?;
Smith & Ryan;2010;8;146;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;gonad mass (g);0;1;production;production_0;"""Testes and soma were dissected and dried separately overnight in a 55 ?C oven, allowed to cool in a desiccator and weighed on a Mettler Toledo AT21 Comparator balance to the nearest 0.01 mg""";37;1.773267952;0.165826296;soma mass (g) +/- sd;130.7841;43.86169;25;32.33404;9.844995;12;37;
Smith & Ryan;2010;8;147;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;VAP: average path velocity (µs-1);0;0;quality;quality;"""the velocity over a smoothed sperm path""";38;-0.327925166;0.106970489;standard length mm +/- sd;32.8;2.56;20;22;0.93;18;38;
Smith & Ryan;2010;8;148;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;VCL: curvilinear velocity (µs-1);0;0;quality;quality;"""the velocity along the sperm path""";38;-0.28227124;0.106603938;standard length mm +/- sd;32.8;2.56;20;22;0.93;18;38;
Smith & Ryan;2010;8;149;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;VSL: straight line velocity (µs-1);0;0;quality;quality;"""the straight line distance between the start and end of the sperm path""";38;-0.594537197;0.110206536;standard length mm +/- sd;32.8;2.56;20;22;0.93;18;38;
Smith & Ryan;2010;8;150;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;sperm head shape (µm);0;0;quality;quality;"""head length ⁄head width"" head=""an elliptical head that stores the genetic information"" - all lengths and this one were measured using imageJ - photo of the inactivated ejaculate (10 sperm)";40;0.06978771;0.104227546;standard length mm +/- sd;33.3;2.5;24;23.7;1;16;40;
Smith & Ryan;2010;8;151;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;sperm midpiece length (µm);0;0;quality;quality;"""midpiece housing the mitochondria that provide energy via oxidative phosphorylation for motility"" - all lengths and this one were measured using imageJ - photo of the inactivated ejaculate (10 sperm)";40;-0.921368478;0.114778165;standard length mm +/- sd;33.3;2.5;24;23.7;1;16;40;
Smith & Ryan;2010;8;152;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;sperm tail length (µm);0;0;quality;quality;"""tail generating its momentum"" - all lengths and this one were measured using imageJ - photo of the inactivated ejaculate (10 sperm)";40;-0.086915079;0.104261095;standard length mm +/- sd;33.3;2.5;24;23.7;1;16;40;
Smith & Ryan;2010;8;153;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;sperm total length (µm);0;0;quality;quality;all lengths and this one were measured using imageJ - photo of the inactivated ejaculate (10 sperm);40;-0.346949397;0.10567134;standard length mm +/- sd;33.3;2.5;24;23.7;1;16;40;
Smith & Ryan;2010;8;154;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;sperm viability;0;0;quality;quality;proportion of sperm alive;36;-0.93480762;0.123592126;standard length mm +/- sd;32.8;2.62;19;22.5;0.99;17;36;
Smith & Ryan;2010;8;155;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;sperm longevity;0;0;quality;quality;"""The proportion of viable sperm before and 3 h after activation was sub- tracted for each male to measure the proportion of sperm surviving over the time interval""";30;-0.759406965;0.148500538;standard length mm +/- sd;32.8;2.62;19;22.5;0.99;17;36;
Smith & Ryan;2010;8;156;Xiphophorus;Swordtail X. nigrensis;Xiphophorus_nigrensis;Poecilia_sp2;Rio Choy, Mexico;2;obs;NA;natural;2;1.L;sperm count;0;0;production;production_0;"""Sperm concentration was estimated by multiplying the number of sperm tracked (mean ± SD: 173 ± 91, range 28–400) by the dilution of the solution.""";38;0.587412587;0.1103;standard length mm +/- sd;32.8;2.56;20;22;0.93;18;38;
Pilastro et al;2002;5;52;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venice Lagoon, Italy + professional fishers;2;exp;1 sneaker;laboratory;4;3.H;sperm concentration (sperm per mL of water);0;0;allocation;allocation;sperm concentration in 80mL of water after 30 min of the introduction of females / sperm per mL;36;0.284449741;0.161838059;mean total length +/- sd cm;18.4;0.37;32;9.7;1.03;32;64;
Pilastro et al;2002;5;53;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venice Lagoon, Italy + professional fishers;2;exp;2 sneakers;laboratory;4;3.H;sperm concentration (sperm per mL of water);0;0;allocation;allocation;sperm concentration in 80mL of water after 30 min of the introduction of females / sperm per mL;36;0.085443755;0.160815683;mean total length +/- sd cm;18.4;0.37;32;9.7;1.03;32;64;
Pilastro et al;2002;5;54;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venice Lagoon, Italy + professional fishers;2;exp;3 sneakers;laboratory;4;3.H;sperm concentration (sperm per mL of water);0;0;allocation;allocation;sperm concentration in 80mL of water after 30 min of the introduction of females / sperm per mL;36;0.418442555;0.163146149;mean total length +/- sd cm;18.4;0.37;32;9.7;1.03;32;64;
Pilastro et al;2002;5;55;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venice Lagoon, Italy + professional fishers;2;exp;5 sneakers;laboratory;4;3.H;sperm concentration (sperm per mL of water);0;0;allocation;allocation;sperm concentration in 80mL of water after 30 min of the introduction of females / sperm per mL;36;0.530851328;0.164628218;mean total length +/- sd cm;18.4;0.37;32;9.7;1.03;32;64;
Scaggiante et al;2006;35;100;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;"""Venetian Lagoon,
Northern Adriatic Sea, Italy""";2;obs;reproductive season;natural;4;3.H;GSI;1;0;production;production_1;"""Gonads and seminal vesicles were separately removed and weighted to the nearest mg (GW and SVW), the gonadoso- matic index (GSI = 100 × GW/BW) and seminal vesicle somatic index (SVSI = 100 × SVW/BW) were computed. For black goby, testis weight meas- urements included the mesorchial gland, that is connected to testis tissue and could not be separately weighted""";27;-1.877800505;0.218707882;mean body weight (g) +/- se;59.42;4.02;16;6.7;0.53;11;27;
Scaggiante et al;2006;35;101;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;"""Venetian Lagoon,
Northern Adriatic Sea, Italy""";2;obs;reproductive season;natural;4;3.H;SVSI;0;0;quality;quality;"""Gonads and seminal vesicles were separately removed and weighted to the nearest mg (GW and SVW), the gonadoso- matic index (GSI = 100 × GW/BW) and seminal vesicle somatic index (SVSI = 100 × SVW/BW) were computed. For black goby, testis weight meas- urements included the mesorchial gland, that is connected to testis tissue and could not be separately weighted""";27;2.708316889;0.289242061;mean body weight (g) +/- se;59.42;4.02;16;6.7;0.53;11;27;
Locatello et al;2007;46;109;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venetian Lagoon;2;obs;NA;natural;4;3.H;proportion of live sperm postactivation;0;0;quality;quality;Sperm viability was measured as the proportion of sperm live at stripping,;30;0.240625749;0.134298346;?;?;?;?;?;?;?;?;
Locatello et al;2007;46;113;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venetian Lagoon;2;obs;NA;natural;4;3.H;VAP: average path velocity (µm s-1) postactivation;0;0;quality;quality;;28;0;0.142857143;?;?;?;?;?;?;?;?;
Locatello et al;2007;46;114;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venetian Lagoon;2;obs;NA;natural;4;3.H;VCL (µm s-1) postactivation;0;0;quality;quality;;28;0.043684324;0.14289122;?;?;?;?;?;?;?;?;
Locatello et al;2007;46;115;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venetian Lagoon;2;obs;NA;natural;4;3.H;VSL (µm s-1) postactivation;0;0;quality;quality;;28;-0.13013459;0.143159554;?;?;?;?;?;?;?;?;
Locatello et al;2007;46;117;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venetian Lagoon;2;obs;NA;natural;4;3.H;ATP concentration;0;0;quality;quality;;22;0;0.181818182;?;?;?;?;?;?;?;?;
Pujolar et al;2012;2;170;Zosterisessor;Grass goby;Zosterisessor_ophiocephalus;Caffrogobius_sp;Venice Lagoon, Italy;2;obs;NA;natural;4;3.H;gonad mass (g);0;1;production;production_0;"""Body and gonad weight were measured for each individual to the nearest mg""";126;-0.085783015;0.031807259;mean mass (g) +/- sd;32.74;14.99;61;14.99;4.34;65;126;
