authors;year;paper.number;es_id;genus;species;animal;animal_on_tree;pop;number.mts;type.of.study;treatment;condition;sperm.comp.rank;sperm_comp_cat;response.variable.type;is_gsi;is_abs_gonad_size;variable.type;variable.type1;meaning.response.variable;sample.size.stat;es_hedges_g;es_var;size.measure;major.size;sde.major.size;n1.size;minor.size;sde.minor.size;n2.size;sample.size.size;
Locatello et al;2007;46;112;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venetian Lagoon;2;obs;NA;natural;1;1.L;VSL (µm s-1) postactivation;0;0;quality;quality;;24;-1.428497389;0.209179266;?;?;?;?;?;?;?;?;
Locatello et al;2007;46;116;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venetian Lagoon;2;obs;NA;natural;1;1.L;ATP concentration;0;0;quality;quality;;15;-1.152174196;0.322027957;?;?;?;?;?;?;?;?;
Sato et al;2004;38;90;Lamprologus;?;Lamprologus_callipterus;Neolamprologus_brichardi;"""Lake Tanganyika at Wonzye Point near
Mpulungu, Zambia""";3;obs;minor 1: dwarf;natural;4;3.H;gonad weight (mg);0;1;production;production_0;"""We measured SL, body and gonad weights, and determined stomach contents of all collected specimens.""";161;4.708220947;0.095595759;mean body weight (g) +/- sd;37.5;7.5;59;0.9;0.4;102;161;
Sato et al;2004;38;91;Lamprologus;?;Lamprologus_callipterus;Neolamprologus_brichardi;"""Lake Tanganyika at Wonzye Point near
Mpulungu, Zambia""";3;obs;minor 1: dwarf;natural;4;3.H;GSI (%);1;0;production;production_1;"""and gonadosomatic index (GSI ¼ ((GW/ 1000)/BW) · 100)) where BW, GW and SL represented body weight in g, gonad weight in mg and standard length in mm, respectively)""";161;-2.578906902;0.047407611;mean body weight (g) +/- sd;37.5;7.5;59;0.9;0.4;102;161;
Schütz et al;2010;33;145;Lamprologus;shell breeding chiclid fish;Lamprologus_callipterus;Neolamprologus_brichardi;"""Lake Tang- anyika at Wonzye Point, Zambia""";2;obs;NA;natural;4;3.H;GSI (%);1;0;production;production_1;"""gonad weight ⁄ (body weight x 10)"" <- it must be 100 instead of 10";80;-2.343571439;0.088417646;?;?;?;?;?;?;?;?;
Ota et al;2014;37;187;Lamprologus;?;Lamprologus_lemairii;Neolamprologus_sp;"""Lake Tanganyika, Wonzye, near Mpulungu, Zambia""";2;obs;NA;natural;2;1.L;testes mass (g);0;1;production;production_0;"""After the dissection, we measured testes mass (TM; to the nearest 0.001 g)""";23;-0.181984532;0.174962389;mean soma mass (g) +/- sd;8.44729;0.985837;12;3.247606;0.3893607;11;23;
Ota et al;2014;37;188;Lamprologus;?;Lamprologus_lemairii;Neolamprologus_sp;"""Lake Tanganyika, Wonzye, near Mpulungu, Zambia""";2;obs;NA;natural;2;1.L;spermatocrit (%);0;0;production;production_0;"""To quantify sperm density, we measured the spermatocrit (sperm cell volume × 100/milt volume) of all 21 males (Nterittorial = 10, Nperipheral = 11). Semen was siphoned from the testis in 20- or 50-μL microhaematocrit tubes once per male. The microhaematocrit tubes were centrifuged at 4000 rpm for 10 min before the spermatocrit was calculated.""";21;-0.36367614;0.194058147;mean soma mass (g) +/- sd;8.44729;0.985837;12;3.247606;0.3893607;11;23;
Ota et al;2014;37;189;Lamprologus;?;Lamprologus_lemairii;Neolamprologus_sp;"""Lake Tanganyika, Wonzye, near Mpulungu, Zambia""";2;obs;NA;natural;2;1.L;sperm flagellum length (µm);0;0;quality;quality;"""After these measurements, a portion of the testis was fixed in 5% formalin to measure flagellum length (Nterittorial = 10, Nperipheral = 11). Parts of the testis were taken from the fixed testis using tweezers, and 10–20 images were photographed from each male using a CCD camera (DS-2Mv; Nikon, Tokyo, Japan) and an image-processing unit (DS-L2; Nikon) mounted on a light microscope (LF-15; Nikon) with a 100× objective lens. We digitized sperm images on the computer and measured the flagellum length using ImageJ 1.42 (available at http://rsb.info.nih.gov/ij/download.html) without prior knowledge of the source of each male. In total, 14–32 spermatozoa were measured for each male, but data for the longest 10 spermatozoa for each male were used for analysis to avoid the inclusion of sperm with broken flagella.""";21;0.087872832;0.191092939;mean soma mass (g) +/- sd;8.44729;0.985837;12;3.247606;0.3893607;11;23;
Ota et al;2014;37;190;Lamprologus;?;Lamprologus_lemairii;Neolamprologus_sp;"""Lake Tanganyika, Wonzye, near Mpulungu, Zambia""";2;obs;NA;natural;2;1.L;sperm longevity (s);0;0;quality;quality;"""Sperm longevity was measured for all males as the time since activation at which 95% of the sperm no longer exhibited progressive motility (Nterittorial = 12, Nperipheral = 11).""";23;-0.444023728;0.178528448;mean soma mass (g) +/- sd;8.44729;0.985837;12;3.247606;0.3893607;11;23;
Ota et al;2014;37;191;Lamprologus;?;Lamprologus_lemairii;Neolamprologus_sp;"""Lake Tanganyika, Wonzye, near Mpulungu, Zambia""";2;obs;NA;natural;2;1.L;sperm velocity after 10s (µm/s);0;0;quality;quality;"""To determine sperm velocity, sperm movements were observed frame by frame for five consecutive frames (0.167 s) at 10, 20, 30, 120, and 180 s after sperm activation. A consecutive observation throughout the time period was not completed for 1 peripheral male, leaving a total of 22 males that were examined (Nterittorial = 12, Nperipheral = 10). The images were captured for the first five frames (0.167 s) at each time, and the distances that a sperm travelled for the time periods were measured using an image analysis software package (Image Tracker PTV; Degimo, Tokyo, Japan). The mean curvilinear track velocity (VCL) was calculated for three to 25 sperm (mean ± SD = 22.6 ± 5.6) that were recorded at each post-activation time period.""";22;-0.33641115;0.185905435;mean soma mass (g) +/- sd;8.44729;0.985837;12;3.247606;0.3893607;11;23;
